"","player_name","overall_rating","gk_rating","Number_of_appearances","Number_of_Leagues"
"154","Adnan Januzaj",75,55,24,1
"155","Adnan Mravac",68,123,43,1
"156","Adnane Tighadouini",74,48,38,2
"157","Adrian",78,388,121,2
"158","Adrian Basta",65,62,43,1
"159","Adrian Blad",62,58,21,1
"160","Adrian Chomiuk",52,46,17,1
"161","Adrian Colunga",76,38,101,1
"162","Adrian Cristea",65,47,2,1
"163","Adrian Daniel Calello",61,56,8,1
"164","Adrian Embarba",73,50,28,1
"165","Adrian Gonzalez",73,46,132,1
"166","Adrian Gunino",69,48,50,2
"167","Adrian Klepczynski",62,53,105,1
"168","Adrian Lopez",81,55,135,2
"169","Adrian Mariappa",73,47,63,1
"170","Adrian Marin",72,53,14,1
"171","Adrian Mrowiec",64,52,86,2
"172","Adrian Mutu",85,100,105,2
"173","Adrian Nikci",68,40,55,2
"174","Adrian Paluchowski",61,117,9,1
"175","Adrian Rakowski",63,41,36,1
"176","Adrian Ramos",79,51,95,1
"177","Adrian Ricardo Centurion",74,39,5,1
"178","Adrian Ricchiuti",75,44,50,1
"179","Adrian Sardinero Corpa",66,59,4,1
"180","Adrian Stoian",72,45,12,1
"181","Adrian Winter",66,68,129,1
"182","Adriano",69,125,1,1
"183","Adriano De Pierro",59,55,16,1
"184","Adriano Facchini",72,363,118,1
"185","Adriano Ferreira Pinto",75,145,48,1
"186","Adriano Jose de Lara",65,41,1,1
"187","Adriano Pereira da Silva",69,56,62,1
"188","Adriano Russo",68,50,9,1
"189","Adrien Goni",63,51,1,1
"190","Adrien Hunou",65,44,4,1
"191","Adrien Rabiot",77,52,54,1
"192","Adrien Rawyler",50,36,1,1
"193","Adrien Regattin",77,54,67,1
"194","Adrien Silva",80,46,146,1
"195","Adrien Thomasson",73,60,50,1
"196","Adrien Trebel",74,61,51,2
"197","Adryan",73,43,21,2
"198","Afonso",74,52,44,1
"199","Afonso Alves,24",84,121,24,1
"200","Afriyie Acquah",74,39,80,1
"201","Ager Aketxe",74,64,5,1
"202","Agim Ibraimi",74,54,8,1
"203","Agon Mehmeti",67,42,15,2
"204","Agustin Vuletich",65,56,2,1
"205","Ahmed Ammi",66,51,72,1
"206","Ahmed Apimah Barusso",71,37,1,1
