"","player_name","overall_rating","gk_rating","Number_of_appearances","Number_of_Leagues"
"2262","Darwin Machis",67,49,2,1
"2263","Daryl Janmaat",77,50,203,2
"2264","Daryl Murphy",73,54,17,2
"2265","Daryl Werker",62,55,2,1
"2266","Daryl van Mieghem",67,65,34,1
"2267","Daryll Meggatt",53,55,2,1
"2268","Dave Bulthuis",70,63,78,1
"2269","Dave Kitson",76,116,20,1
"2270","David Abdul",58,125,2,1
"2271","David Abraham",77,40,164,3
"2272","David Addy",67,55,72,2
"2273","David Alaba",85,50,127,1
"2274","David Albelda",80,111,94,1
"2275","David Amoo",69,125,27,1
"2276","David Anon",59,53,1,1
"2277","David Baiocco",71,156,25,1
"2278","David Barral",76,143,152,1
"2279","David Barron",62,57,63,1
"2280","David Beckham",87,133,27,2
"2281","David Bellion",76,124,41,1
"2282","David Bentley",83,152,41,1
"2283","David Biton",72,50,28,2
"2284","David Buchanan",63,54,27,1
"2285","David Caiado",65,60,8,2
"2286","David Carney",68,53,7,2
"2287","David Clarkson",72,123,48,1
"2288","David Cobeno",75,378,28,1
"2289","David Cornell",58,295,5,1
"2290","David Cortes",75,141,92,1
"2291","David Costas",70,55,14,1
"2292","David Crespo",59,62,1,1
"2293","David Da Costa",68,336,161,1
"2294","David Davis",69,40,20,2
"2295","David De Freitas",72,143,19,1
"2296","David De Gea",87,429,222,2
"2297","David Degen",70,51,106,1
"2298","David Destorme",68,55,107,1
"2299","David Di Michele",82,120,76,2
"2300","David Ducourtioux",73,39,186,1
"2301","David Dunn",77,49,65,1
"2302","David Edgar",67,148,9,1
"2303","David Edwards",68,62,52,1
"2304","David Elebert",64,56,45,1
"2305","David Elm",72,125,3,1
"2306","David Ferguson",50,40,3,1
"2307","David Fernandez",68,130,37,1
"2308","David Fleurival",66,45,33,3
"2309","David Fox",69,57,23,1
"2310","David Frey",50,54,1,1
"2311","David Fuster Torrijos",75,41,11,1
"2312","David Garcia",70,60,18,1
"2313","David Generelo",73,141,1,1
"2314","David Gigliotti",72,117,7,1
"2315","David Goldar",64,64,1,1
"2316","David Gonzalez",69,344,14,1
"2317","David Goodwillie",75,53,109,2
"2318","David Graham",63,51,44,1
"2319","David Healy",77,125,8,1
"2320","David Hellebuyck",75,156,75,1
"2321","David Holman",63,47,2,1
"2322","David Hopkirk",49,47,2,1
"2323","David Hubert",70,59,115,1
"2324","David Ivan",67,53,12,1
"2325","David James",83,413,61,1
"2326","David Jarolim",79,155,109,2
"2327","David Jemmali",77,121,26,1
"2328","David Jones",71,64,84,1
"2329","David Junca",70,52,25,1
"2330","David Kinsombi",63,55,3,1
"2331","David Lilley",66,133,20,1
"2332","David Lomban",74,63,88,1
"2333","David Lopez",77,54,68,2
"2334","David Luiz",83,54,180,3
"2335","David Mackay",68,60,223,1
"2336","David Marazzi",60,98,39,1
"2337","David Marshall",75,371,37,1
"2338","David Mateos",70,57,13,1
"2339","David McCracken",67,129,42,1
"2340","David McNamee",69,109,9,1
"2341","David Mendes",64,56,28,2
"2342","David Meul",62,315,34,1
"2343","David Meyler",71,63,60,1
"2344","David Mitchell",57,290,1,1
"2345","David Moberg Karlsson",66,50,2,1
"2346","David Moser",56,281,6,1
"2347","David Navarro",79,43,189,2
"2348","David Ngog",78,119,78,2
"2349","David Nugent",78,114,49,1
"2350","David Obua",69,138,69,1
"2351","David Odonkor",70,121,1,1
"2352","David Ospina",78,393,211,2
"2353","David Pizarro",82,151,149,2
"2354","David Pollet",70,61,35,2
"2355","David Prieto",69,131,33,1
"2356","David Proctor",62,106,41,1
"2357","David Raven",66,56,112,1
"2358","David Rivas Rodriguez",82,104,5,1
"2359","David Robertson",65,56,56,1
"2360","David Rochela",70,65,5,1
"2361","David Rodriguez",72,52,3,1
"2362","David Rozehnal",81,94,123,4
"2363","David Salomon Abwo",68,37,42,1
"2364","David Sauget",67,36,126,1
"2365","David Silva",88,57,217,2
"2366","David Simao",74,65,121,1
"2367","David Simon",74,53,24,1
"2368","David Smith",53,44,19,1
"2369","David Sommeil",75,75,1,1
"2370","David Stephens",57,43,21,1
"2371","David Stockdale",74,375,37,1
"2372","David Strihavka",67,118,5,1
"2373","David Suazo",83,123,13,2
"2374","David Syme",55,54,7,1
"2375","David Templeton",74,41,57,1
"2376","David Texeira",70,46,43,1
"2377","David Timor Copovi",74,51,17,1
"2378","David Trezeguet",90,72,43,2
"2379","David Vandenbroeck",67,60,64,1
"2380","David Vaughan",77,36,60,1
"2381","David Villa",89,155,153,1
"2382","David Weir",75,94,111,1
"2383","David Wheater",77,129,60,1
"2384","David Wijns",63,48,3,1
"2385","David Wilson",52,49,5,1
"2386","David Witteveen",69,45,5,1
"2387","David Wotherspoon",66,48,196,1
"2388","David Zibung",66,337,253,1
"2389","David Zurutuza",77,51,119,1
"2390","David van Zanten",67,140,131,1
"2391","David von Ballmoos",50,246,1,1
"2392","Davide Astori",80,50,222,1
"2393","Davide Bassi",70,345,8,1
"2394","Davide Bertoncini",62,34,4,1
"2395","Davide Biondini",77,147,200,1
"2396","Davide Bombardini",73,151,24,1
"2397","Davide Brivio",73,43,96,1
"2398","Davide Calabria",65,56,3,1
"2399","Davide Calla",66,140,97,1
"2400","Davide Carrus",65,140,2,1
"2401","Davide Chiumiento",73,50,117,1
"2402","Davide Di Gennaro",72,142,13,1
"2403","Davide Dias,23",70,96,23,1
"2404","Davide Gavazzi",67,46,6,1
"2405","Davide Grassi",61,70,26,1
"2406","Davide Lanzafame",76,114,19,1
"2407","Davide Mandelli",74,131,59,1
"2408","Davide Marchini",67,149,16,1
"2409","Davide Mariani",55,50,17,1
"2410","Davide Moro",73,134,23,1
"2411","Davide Moscardelli",73,57,34,1
"2412","Davide Possanzini",75,113,5,1
"2413","Davide Santon",78,129,130,2
"2414","Davide Taini",60,299,7,1
"2415","Davide Zappacosta",76,45,40,1
"2416","Davide Zoboli",70,51,18,1
"2417","Davie Selke",72,55,23,1
"2418","Davino Verhulst",70,354,100,2
"2419","Davor Landeka",58,66,6,1
"2420","Davy De Beule",71,140,89,2
"2421","Davy Klaassen",79,57,84,1
"2422","Davy Proepper",77,55,135,1
"2423","Davy Roef",69,347,1,1
"2424","Davy Schollen",69,349,11,1
"2425","Davy de Fauw",71,63,151,2
"2426","Dawid Janczyk",68,132,28,2
"2427","Dawid Kownacki",63,57,21,1
"2428","Dawid Kucharski",64,135,10,1
"2429","Dawid Kudla",64,322,18,1
"2430","Dawid Nowak",67,65,74,1
"2431","Dawid Plizga",68,51,108,1
"2432","Dawid Soldecki",61,53,26,1
"2433","Daylon Claasen",67,66,61,2
"2434","De Amo",65,58,13,1
"2435","DeAndre Yedlin",71,51,21,1
"2436","Dealbert",78,139,43,1
"2437","Dean Ashton",82,78,4,1
"2438","Dean Brill",66,328,61,1
"2439","Dean Hammond",69,59,9,1
"2440","Dean Holden",65,120,16,1
"2441","Dean Kiely",74,365,3,1
"2442","Dean Koolhof",66,66,5,1
"2443","Dean Marney",72,150,61,1
"2444","Dean Moxey",68,40,18,1
"2445","Dean Shiels",71,60,49,1
"2446","Dean Whitehead",75,54,130,1
"2447","Dean Windass",66,129,1,1
"2448","Declan Gallagher",58,48,24,1
"2449","Declan John",69,48,16,1
"2450","Declan McDaid",60,50,6,1
"2451","Declan Rudd",70,351,12,1
"2452","Deco",86,114,31,1
"2453","Dede",80,150,24,1
"2454","Dedryck Boyata",73,53,47,3
"2455","Deivid",72,68,24,1
"2456","Deividas Cesnauskis",65,154,2,1
"2457","Dejan Drazic",70,46,1,1
"2458","Dejan Janjatovic",66,55,97,1
"2459","Dejan Kelhar",63,119,37,2
"2460","Dejan Lazarevic",71,47,9,1
"2461","Dejan Lekic",72,38,15,1
"2462","Dejan Lovren",80,53,144,2
"2463","Dejan Meleg",66,40,5,1
"2464","Dejan Milovanovic",69,142,9,1
"2465","Dejan Skolnik",69,57,37,1
"2466","Dejan Stankovic",82,162,87,1
"2467","Dejan Stojanovic",60,304,5,1
"2468","Dekel Keinan",66,44,3,1
"2469","Dele Adeleye",64,48,33,1
"2470","Dele Alli",77,41,28,1
"2471","Deleu",65,40,117,1
"2472","Delvin N'Dinga",75,45,70,1
"2473","Demarai Gray",68,51,1,1
"2474","Demba Ba",82,42,137,2
"2475","Demba Camara",67,63,4,1
"2476","Deme N'Diaye",66,125,29,2
"2477","Demetris Christofi",72,46,37,1
"2478","Demy de Zeeuw",78,156,71,1
"2479","Denes Rosa",58,130,10,1
"2480","Deni Milosevic",65,45,13,1
"2481","Denilson",79,57,61,1
"2482","Denis Alibec",71,48,3,1
"2483","Denis Bouanga",64,55,3,1
"2484","Denis Cheryshev",79,52,25,1
"2485","Denis Dessaer",60,42,1,1
"2486","Denis Halilovic",65,41,15,1
"2487","Denis Odoi",72,53,127,1
"2488","Denis Oliynyk",71,52,40,1
"2489","Denis Petric",71,344,11,1
"2490","Denis Popovic",65,54,15,1
"2491","Denis Prychynenko",64,43,1,1
"2492","Denis Simijonovic",54,53,5,1
"2493","Denis Stracqualursi",72,52,7,1
"2494","Denis Streker",63,65,2,1
"2495","Denis Suarez",79,48,41,1
"2496","Denis Thomalla",64,59,3,1
"2497","Denis Tonucci",68,85,17,1
"2498","Denis Viane",64,125,53,1
"2499","Denis Zakaria",63,55,21,1
"2500","Deniss Rakels",68,62,48,1
"2501","Deniz Dogan",70,55,19,1
"2502","Deniz Hummet",60,60,2,1
"2503","Deniz Naki",71,50,6,1
"2504","Deniz Tueruec",71,61,59,1
"2505","Deniz Yilmaz",72,54,1,1
"2506","Dennes de Kegel",59,60,7,1
"2507","Denni Avdic",71,58,35,2
"2508","Dennis Aogo",77,55,172,1
"2509","Dennis Appiah",71,50,67,1
"2510","Dennis Daube",68,67,7,1
"2511","Dennis Diekmeier",75,48,144,1
"2512","Dennis Eilhoff",79,383,34,1
"2513","Dennis Gentenaar",73,356,56,1
"2514","Dennis Grote",69,132,11,1
"2515","Dennis Hediger",64,48,153,1
"2516","Dennis Kruppke",71,47,6,1
"2517","Dennis Oliech",72,52,110,1
"2518","Dennis Praet",77,46,63,1
"2519","Dennis Rommedahl",72,49,26,1
"2520","Dennis Soerensen",75,106,17,1
"2521","Dennis Telgenkamp",65,321,24,1
"2522","Dennis Wyness",67,119,17,1
"2523","Dennis van der Heijden",60,54,1,1
"2524","Denny Landzaat",76,145,53,1
"2525","Denzel Slager",62,59,1,1
"2526","Derek Asamoah",72,57,1,1
"2527","Derek Boateng",77,55,72,3
"2528","Derek Lyle",61,142,13,1
"2529","Derek Riordan",79,124,93,1
"2530","Derek Young",66,120,53,1
"2531","Derick Chuka Ogbu",66,40,44,1
"2532","Derk Boerrigter",76,59,65,2
"2533","Derlei",79,105,12,1
"2534","Derley",75,41,31,1
"2535","Derlis Gonzalez",74,72,20,1
"2536","Dermot McCaffrey",63,38,1,1
"2537","Derrick Luckassen",68,41,25,1
"2538","Derrick Tshimanga",74,50,96,1
"2539","Desevio Payne",64,56,7,1
"2540","Deyverson",76,53,48,3
"2541","Deyvison",67,48,12,1
"2542","Diacko Fofana",60,58,1,1
"2543","Diafra Sakho",75,60,38,1
"2544","Diallo Guidilleye",69,58,5,1
"2545","Dianbobo Balde",78,101,31,1
"2546","Dickson Etuhu",76,154,65,1
"2547","Dico Koppers",67,60,65,1
"2548","Dida",88,416,32,1
"2549","Didac Vila",76,44,84,2
"2550","Didier Crettenand",63,45,43,1
"2551","Didier Dheedene",64,145,8,1
"2552","Didier Digard",76,55,151,3
"2553","Didier Drogba",88,49,100,1
"2554","Didier Konan Ya",79,49,101,1
"2555","Didier Ovono",70,349,85,2
"2556","Didier Zokora",81,40,66,2
"2557","Diederik Boer",70,344,53,1
"2558","Diego",72,52,73,1
"2559","Diego Alves",83,405,214,1
"2560","Diego Angelo",73,57,48,1
"2561","Diego Barcelos",74,54,81,1
"2562","Diego Benaglio",81,404,228,1
"2563","Diego Biseswar",73,56,46,1
"2564","Diego Buonanotte",77,64,19,1
"2565","Diego Camacho",72,115,43,1
"2566","Diego Capel",81,46,117,3
"2567","Diego Carlos",70,49,31,1
"2568","Diego Castro",79,46,195,1
"2569","Diego Ciccone",57,5,55,1
"2570","Diego Contento",73,59,82,2
"2571","Diego Costa",86,55,169,2
"2572","Diego Daniel Colotto",80,161,155,1
"2573","Diego De Ascentis,23",77,147,23,1
"2574","Diego Fabbrini",74,48,16,1
"2575","Diego Falcinelli",69,44,11,1
"2576","Diego Farias",71,38,23,1
"2577","Diego Forlan",87,42,98,2
"2578","Diego Galo",72,48,92,1
"2579","Diego Godin",86,49,252,1
"2580","Diego Gomez",68,61,20,1
"2581","Diego Gonzalez",56,42,1,1
"2582","Diego Ifran",73,60,16,1
"2583","Diego Klimowicz",81,74,22,1
"2584","Diego Laxalt",73,49,45,1
"2585","Diego Lima",70,55,16,1
"2586","Diego Llorente",73,47,33,1
"2587","Diego Lopes",75,60,56,1
"2588","Diego Lopez",84,418,247,2
"2589","Diego Lugano",82,45,26,3
"2590","Diego Luis Breijo Lopez",73,122,48,1
"2591","Diego Mainz",72,53,81,1
"2592","Diego Marino",73,365,83,1
"2593","Diego Mauricio",73,52,1,1
"2594","Diego Milito",86,52,132,1
"2595","Diego Novaretti",72,47,11,1
"2596","Diego Perez",76,149,127,2
"2597","Diego Perotti",80,138,136,2
"2598","Diego Reyes",75,49,33,2
"2599","Diego Rivas",74,63,31,1
"2600","Diego Rodolfo Placente",73,87,9,1
"2601","Diego Rodriguez",66,134,4,1
"2602","Diego Rolan",77,49,68,1
"2603","Diego Rubio",71,49,2,1
"2604","Diego Seoane Perez",68,49,9,1
"2605","Diego Valeri",78,60,4,2
"2606","Dieguinho",67,55,6,1
"2607","Dieter Dekelver",65,128,45,1
"2608","Dieter van Tornhout",64,49,7,2
"2609","Dietmar Hamann",78,105,5,1
"2610","Dieumerci Mbokani",79,45,88,4
"2611","Dieumerci Ndongala",70,55,40,1
"2612","Dimas Delgado",71,45,18,1
"2613","Dimitar Berbatov",86,134,159,2
"2614","Dimitar Rangelov",74,118,72,2
"2615","Dimitri Bulykin",73,50,45,1
"2616","Dimitri Cavare",70,50,16,1
"2617","Dimitri Daeselaire",64,49,38,1
"2618","Dimitri Foulquier",71,48,54,2
"2619","Dimitri Mohamed",62,62,14,1
"2620","Dimitri Payet",84,61,230,2
"2621","Dimitrija Lazarevski",59,116,2,1
"2622","Dimitrije Injac",71,53,98,1
"2623","Dimitrios Eleftheropoulos",71,352,1,1
"2624","Dimitrios Papadopoulos",82,128,4,1
"2625","Dimitrios Pelkas",71,63,8,1
"2626","Din Sula",56,43,1,1
"2627","Dinei",72,53,1,1
"2628","Diney",64,57,1,1
"2629","Diniyar Bilyaletdinov",79,155,33,1
"2630","Dino Arslanagic",71,56,38,1
"2631","Dino Drpic",72,108,15,1
"2632","Dino Islamovic",61,57,1,1
"2633","Diogo Amado",72,52,91,1
"2634","Diogo Coelho",57,48,1,1
"2635","Diogo Cunha",68,50,35,1
"2636","Diogo Figueiras",77,64,69,3
"2637","Diogo Jota",74,54,39,1
"2638","Diogo Luis",52,99,1,1
"2639","Diogo Melo",64,54,42,1
"2640","Diogo Ribeiro",64,39,3,1
"2641","Diogo Rosado",66,52,15,1
"2642","Diogo Salomao",74,57,10,2
"2643","Diogo Valente",73,143,81,1
"2644","Diogo Viana",70,60,59,2
"2645","Diomansy Kamara",75,132,23,2
"2646","Dion Cools",67,45,5,1
"2647","Dion Malone",68,51,104,1
"2648","Dionisio Villalba",62,59,1,1
"2649","Dirceu",67,42,25,1
"2650","Dirk Kuyt",84,139,156,2
"2651","Dirk Marcellis",75,135,146,1
"2652","Divine Naah",61,58,8,1
"2653","Divock Origi",76,70,41,2
"2654","Djakaridja Kone",72,48,51,1
"2655","Djalma",73,46,61,1
"2656","Djalmir",69,133,25,1
"2657","Djamal Mahamat",75,66,41,1
"2658","Djamel Abdoun",75,61,14,2
"2659","Djamel Bakar",71,57,96,1
"2660","Djamel Belmadi",68,150,11,1
"2661","Djamel Mesbah",74,45,86,1
"2662","Djaniny",73,53,57,1
"2663","Djavan",75,43,59,1
"2664","Djavan Anderson",63,52,8,1
"2665","Djibril Cisse",84,92,72,3
"2666","Djibril Sidibe",75,54,80,1
"2667","Djiby Fall",75,94,3,2
"2668","Djimi Traore",72,53,40,1
"2669","Djordje Rakic",66,51,1,1
"2670","Djordje Susnjar",55,44,6,1
"2671","Dmitriy Verkhovtsov",65,58,5,1
"2672","Do-Heon Kim",72,63,9,1
"2673","Dobrivoj Rusov",58,289,5,1
"2674","Dodi Lukebakio",65,53,3,1
"2675","Dodo",74,50,54,1
"2676","Doke Schmidt",67,64,45,1
"2677","Dolly Menga",68,45,34,2
"2678","Domagoj Pusic",56,54,4,1
"2679","Domen Crnigoj",61,54,12,1
"2680","Domenico Berardi",81,27,84,1
"2681","Domenico Criscito",81,52,99,1
"2682","Domenico Maietta",73,46,41,1
"2683","Domingo Cisma",74,62,159,1
"2684","Domingos Alexandre Martins da Costa Alex",70,37,93,1
"2685","Dominic Foley",69,73,33,1
"2686","Dominic Maroh",75,42,98,1
"2687","Dominic Solanke",68,57,21,1
"2688","Dominic Thomas",55,48,4,1
"2689","Dominik Furman",69,45,38,2
"2690","Dominik Kaiser",71,52,5,1
"2691","Dominik Kohr",72,43,54,1
"2692","Dominik Kumbela",74,51,20,1
"2693","Dominik Kun",60,51,13,1
"2694","Dominik Masek",61,53,1,1
"2695","Dominik Reinhardt",74,122,10,1
"2696","Dominik Sadzawicki",57,51,21,1
"2697","Dominik Schmidt",67,48,7,1
"2698","Dominik Stroh-Engel",70,67,6,1
"2699","Dominique Heintz",75,60,32,1
"2700","Dominique Kivuvu",66,58,8,1
"2701","Dominique Malonga",71,55,10,1
"2702","Dominique van Dijk",63,142,9,1
"2703","Don Cowie",72,39,38,2
"2704","Donald Dering Djousse",61,59,17,2
"2705","Donervon Daniels",65,60,7,1
"2706","Dong-Won Ji",71,64,37,2
"2707","Doni",81,401,53,2
"2708","Donny Gorter",69,53,95,1
"2709","Donny van de Beek",69,51,4,1
"2710","Donovan Deekman",65,131,6,1
"2711","Donovan Leon",68,343,2,1
"2712","Donovan Simmonds",52,94,4,1
"2713","Donovan Slijngard",65,45,38,1
"2714","Dor Malul",63,41,30,1
"2715","Dorde Cotra",65,63,93,1
"2716","Dorge Kouemaha",73,44,52,2
"2717","Dorian Caddy",64,54,3,1
"2718","Dorian Dessoleil",66,57,18,1
"2719","Dorian Leveque",73,44,49,1
"2720","Dorin Goian",78,139,57,2
"2721","Dorlan Pabon",76,59,30,2
"2722","Dorus De Vries",71,360,4,1
"2723","Dorvalino Alves Maciel Lino",74,56,4,1
"2724","Dossa Junior",73,54,30,1
"2725","Dougie Imrie",62,53,176,1
"2726","Douglao",76,54,35,2
"2727","Douglas",72,65,1,1
"2728","Douglas Abner",64,55,5,1
"2729","Douglas Costa",83,54,23,1
"2730","Douglas Santos",73,60,3,1
"2731","Dragan Djukic",58,281,2,1
"2732","Dragan Jelic",64,54,3,1
"2733","Dragan Mihajlovic",51,44,15,1
"2734","Dragan Mrdja",72,58,25,1
"2735","Dragan Paljic",65,53,61,2
"2736","Dragos Grigore",74,50,25,1
"2737","Dries Mertens",82,44,169,2
"2738","Dries Wuytens",69,59,80,2
"2739","Drissa Diakite",74,71,145,1
"2740","Drissa Diarra",64,139,56,1
"2741","Du-Ri Cha",72,58,45,2
"2742","Duarte Machado",65,50,16,1
"2743","Duda",79,51,142,1
"2744","Dudley Campbell",76,36,32,1
"2745","Dudu",61,125,3,1
"2746","Dudu Aouate",78,389,159,1
"2747","Dudu Paraiba",69,53,110,1
"2748","Dugary Ndabashinze",66,51,19,1
"2749","Duje Cop",72,65,35,3
"2750","Duncan Watmore",67,58,11,2
"2751","Dusan Basta",80,57,146,1
"2752","Dusan Cvetinovic",67,67,5,1
"2753","Dusan Djuric",74,51,101,2
"2754","Dusan Kuciak",72,348,117,1
"2755","Dusan Pernis",70,351,106,2
"2756","Dusan Svento",75,136,14,1
"2757","Dusan Tadic",81,56,184,2
"2758","Dusan Vasiljevic",65,139,4,1
"2759","Dusan Veskovac",70,59,158,2
"2760","Dusko Tosic",75,55,7,1
"2761","Dustley Mulder",65,128,32,1
"2762","Duvan Zapata",77,40,27,1
"2763","Dwight Gayle",71,49,27,1
"2764","Dwight Tiendalli",70,136,87,2
"2765","Dyego Rocha Coelho",72,46,3,1
"2766","Dyego Sousa",69,50,32,1
"2767","Dylan De Belder",60,62,1,1
"2768","Dylan Gissi",66,56,1,1
"2769","Dylan McGowan",64,59,48,1
"2770","Dylan Ragolle",56,41,1,1
"2771","Dzengis Cavusevic",65,5,46,1
"2772","Dzikamai Andre Gwaze",61,50,5,1
"2773","Dziugas Bartkus",59,309,7,1
"2774","Eamonn Brophy",58,59,9,1
"2775","Ebenezer Assifuah",68,53,49,1
"2776","Eber Bessa",66,51,29,1
"2777","Ebinho",64,54,6,1
"2778","Ebrahima Ibou Sawaneh",72,41,101,1
"2779","Edder Farias",67,56,7,1
"2780","Eddie Johnson",78,126,1,1
"2781","Eddy Israfilov",69,53,2,1
"2782","Eden Ben Basat",73,52,55,1
"2783","Eden Hazard",89,45,240,2
"2784","Edenilson",76,47,54,1
"2785","Eder",79,51,106,3
"2786","Eder Baiano",62,64,5,1
"2787","Eder Citadin Martins",79,50,24,1
"2788","Eder Luis",77,56,1,1
"2789","Eder Sciola",67,98,18,1
"2790","Ederson",79,138,56,2
"2791","Ederson Moraes",73,374,46,1
"2792","Ederson Tormena",66,46,54,1
"2793","Edgar",69,130,63,1
"2794","Edgar Abreu",62,55,5,1
"2795","Edgar Alvarez",77,165,59,1
"2796","Edgar Antonio Mendez",73,60,28,1
"2797","Edgar Barreto",77,166,148,1
"2798","Edgar Bernhardt",64,52,6,1
"2799","Edgar Costa",71,48,78,1
"2800","Edgar Prib",75,45,69,1
"2801","Edgar Salli",73,51,28,2
"2802","Edimar Fraga",73,59,97,2
"2803","Edin Cocalic",69,56,25,1
"2804","Edin Dzeko",85,63,174,3
"2805","Edinho",75,130,40,2
"2806","Edinson Cavani",87,53,239,2
"2807","Edison Mendez",74,145,9,1
"2808","Edivaldo Rojas",65,53,65,1
"2809","Edivandio",61,59,1,1
"2810","Edmilson Fernandes",67,60,37,1
"2811","Edmilson Junior",71,59,26,1
"2812","Edmond Kapllani",71,123,6,1
"2813","Edoardo Goldaniga",70,58,14,1
"2814","Edouard Butin",67,46,36,1
"2815","Edouard Cisse",75,39,75,1
"2816","Edouard Duplan",72,62,157,1
"2817","Edson Braafheid",75,138,89,4
"2818","Edson Eli Montano",62,38,1,1
"2819","Edson Henrique",70,121,31,1
"2820","Edson Rivera",66,62,1,1
"2821","Edson Sitta",69,49,16,1
"2822","Edu",74,49,29,1
"2823","Edu Albacar",72,57,34,1
"2824","Edu Bedia",68,44,9,1
"2825","Edu Oriol",70,47,18,1
"2826","Edu Ramos",68,53,3,1
"2827","Eduard Campabadal",68,58,12,1
"2828","Eduardo",83,105,82,1
"2829","Eduardo Costa",75,162,14,1
"2830","Eduardo Gottardi",76,378,127,1
"2831","Eduardo Jumisse",56,48,13,1
"2832","Eduardo Salvio",80,48,96,2
"2833","Eduardo Vargas",78,54,45,3
"2834","Eduards Visnakovs",64,56,48,2
"2835","Edward Ofere",69,52,20,2
"2836","Edwin Gyasi",67,53,22,1
"2837","Edwin de Graaf",69,126,73,2
"2838","Edwin van Bueren",63,137,13,1
"2839","Edwin van der Sar",87,436,87,1
"2840","Efe Ambrose",70,64,97,1
"2841","Efrain Juarez",79,40,20,2
"2842","Efstathios Tavlaridis",81,91,29,1
"2843","Eggert Jonsson",68,52,104,3
"2844","Egidio Arevalo",77,49,22,1
"2845","Egoitz Jaio",69,136,5,1
"2846","Egor Filipenko",73,46,6,1
"2847","Eidur Gudjohnsen",86,96,38,4
"2848","Eiji Kawashima",74,367,110,2
"2849","Eke Uzoma",67,132,1,1
"2850","El Fardou Ben Nabouhane",54,51,1,1
"2851","El Hadji Diouf",82,126,72,2
"2852","El-Arbi Hilal Soudani",72,50,27,1
"2853","El-Hadji Ba",60,54,7,1
"2854","Elano",83,146,21,1
"2855","Elderson",75,68,110,2
"2856","Eldin Jakupovic",72,355,17,2
"2857","Eli Babalj",63,43,1,1
"2858","Eliaquim Mangala",81,48,142,3
"2859","Elias",78,49,43,2
"2860","Elias Kachunga",70,47,27,1
"2861","Elimane Coulibaly",69,93,89,1
"2862","Elinton Andrade",69,348,2,1
"2863","Elio Martins",72,51,24,1
"2864","Eliran Atar",72,46,11,1
"2865","Eliseu",78,67,203,2
"2866","Elisson",68,343,4,1
"2867","Elizeu",66,50,7,1
"2868","Elizio",66,59,21,1
"2869","Eljero Elia",80,48,141,4
"2870","Elkin Soto",76,68,125,1
"2871","Ellery Cairo",76,83,10,1
"2872","Elliot Grandin",73,66,36,2
"2873","Elliott Bennett",71,42,32,1
"2874","Elliott L. Ward",69,97,12,1
"2875","Ellis Plummer",53,55,6,1
"2876","Ellyes Skhiri",64,65,10,1
"2877","Eloge Enza-Yamissi",68,103,36,1
"2878","Elohim Rolland",68,40,19,1
"2879","Eloy Room",74,369,113,1
"2880","Elrio van Heerden",70,50,12,1
"2881","Elroy Pappot",62,56,5,1
"2882","Elsad Zverotic",67,61,161,2
"2883","Elseid Hysaj",77,52,70,1
"2884","Elso Brito",62,58,6,1
"2885","Elson",73,54,17,1
"2886","Elson Hooi",67,59,43,1
"2887","Elton",73,49,2,1
"2888","Elvedin Dzinic",66,114,27,2
"2889","Elvis",66,25,17,1
"2890","Elvis Abbruscato",78,145,22,1
"2891","Elvis Bratanovic",57,54,1,1
"2892","Elvis Manu",73,48,30,1
"2893","Elyaniv Barda",74,46,72,1
"2894","Emanuel Boakye",67,93,18,1
"2895","Emanuel Insua",73,48,12,1
"2896","Emanuel Obiora Odita,19",65,120,19,1
"2897","Emanuel Pogatetz",77,38,113,2
"2898","Emanuel Rivas",76,139,19,1
"2899","Emanuel Sarki",63,60,30,2
"2900","Emanuele Belardi",71,353,7,1
"2901","Emanuele Calaio",76,40,82,1
"2902","Emanuele D'Anna",68,136,1,1
"2903","Emanuele Giaccherini",80,55,97,2
"2904","Emanuele Manitta",72,358,5,1
"2905","Emanuele Pesoli",69,55,7,1
"2906","Emanuele Suagher",70,56,8,1
"2907","Emanuele Terranova",70,43,15,1
"2908","Emenike Alex Nkume,27",64,41,27,1
"2909","Emerse Fae",80,112,82,1
"2910","Emerson",73,49,30,1
"2911","Emidio Rafael",69,48,57,1
"2912","Emil Drozdowicz",60,54,10,1
"2913","Emil Gabriel Jula",71,52,15,1
"2914","Emil Hallfredsson",77,50,85,1
"2915","Emil Johansson",70,62,5,1
"2916","Emil Krafth",69,57,2,1
"2917","Emil Lyng",62,60,4,2
"2918","Emile Heskey",78,129,76,1
"2919","Emile Lokonda Mpenza",69,116,27,1
"2920","Emiliano Albin",69,58,2,1
"2921","Emiliano Alfaro",73,37,1,1
"2922","Emiliano Ariel Dudar",68,45,60,1
"2923","Emiliano Bonazzoli",80,100,3,1
"2924","Emiliano Daniel Armenteros",75,35,89,1
"2925","Emiliano Insua",79,54,137,4
"2926","Emiliano Martinez",66,339,3,1
"2927","Emiliano Moretti",78,55,218,2
"2928","Emiliano Sala",73,41,33,1
"2929","Emiliano Velazquez",74,55,38,1
"2930","Emiliano Viviano",80,402,190,1
"2931","Emilijus Zubas",67,325,45,1
"2932","Emilio Izaguirre",76,43,153,1
"2933","Emilio Nsue",73,56,78,1
"2934","Emir Bajrami",74,62,24,1
"2935","Emir Dautovic",61,42,2,1
"2936","Emir Sinanovic",49,125,12,1
"2937","Emir Spahic",79,47,175,3
"2938","Emmanuel Adebayor",87,110,140,2
"2939","Emmanuel Agyemang-Badu",75,56,92,1
